Season,Episode,Title,Airdate,Rating,Total Votes,Episode Description,Wiki Fandom Descriptions,Wikipedia Episode Descriptions
1,1,Pilot,16/01/2014,7.8,4701,"Detective Jake Peralta finds his work scrutinized when new Captain, Ray Holt, takes over at his precinct.","Detective Jake Peralta is a talented, but carefree police detective at Brooklyn's ninety-ninth precinct who, along with his eclectic group of colleagues, are used to having a lax captain around the office. However, when tightly-wound Captain Ray Holt takes over, he is determined to make this dysfunctional group of detectives into the best precinct in Brooklyn.
","The 99th precinct of theNew York Police DepartmentinBrooklynreceives a new Commanding Officer, Captain Raymond Holt. Much to the dismay of talented but carefree Detective Jacob Peralta, and the satisfaction of the by-the-book Detective Amy Santiago, Holt takes police work much more seriously than the previous captain. Holt gets to know his detectives through Sergeant Terry Jeffords, their dedicated but emotionally unsteady leader. Meanwhile, Detective Charles Boyle, a committed but not physically gifted officer, asks Gina Linetti, the sarcastic civilian administrator, to help him ask laconic and tough Detective Rosa Diaz out on a date. Jake gets on Holt's nerves by refusing to take his orders, like wearing a neck tie, seriously."
1,2,The Tagger,23/01/2014,7.5,3833,"When Jake arrives late for work, Captain Holt decides to shadow him. However, the arrest they make proves complicated. Meanwhile, a psychic friend of Gina's gets inside Charles' head.","When Jake is late for roll call, Captain Ray Holt assigns him to a graffiti case that Jake feels is below his level. However, when the culprit turns out to be the Deputy Commissioner's son, the case becomes a major problem. Meanwhile, Gina's psychic friend visits the precinct and gets inside Charles' head.
","Jake shows up late for roll call, so Holt assigns him to a graffiti case that Jake thinks is below him. The case becomes a problem when the suspect happens to be the Deputy Commissioner's son. In the meantime, Gina's psychic friend visits the precinct and gets into Charles' head about Rosa."
1,3,The Slump,30/01/2014,7.6,3591,"With a backlog of unsolved cases, Jake finds himself in a slump. Meanwhile, Amy is put in charge of the Junior Police Program for at risk kids, but her efforts to inspire them fall flat.","Jake has a slew of unsolved cases that he can't seem to close, and the other detectives don't want his losing streak to rub off on them. Meanwhile, Holt asks Amy to run lead on the Junior Policeman Program for at-risk youth, and she enlists Rosa and Gina's help. Also, Boyle helps Sergeant Jeffords with a special case he cannot solve.[1]
","Jake has a lot of unsolved cases on hand and the other detectives are unwilling to let his losing streak rub off on them. Meanwhile, Amy recruits Rosa and Gina for help when Holt asks her to run lead on the Junior Policeman Program for at-risk youth and Boyle helps Jeffords with a special case he's unable to solve."
1,4,M.E. Time,6/2/14,7.7,3473,"Jake meets an attractive Medical Examiner, but their relationship slows down her work, much to his colleagues' annoyance. Meanwhile, Amy desperately tries to impress Holt.","Jake flirts with an attractive medical examiner at a crime scene and delays the autopsy report, only to learn that she's more than he bargained for. In the meantime, the sketch artist is out sick when Amy takes on a purse-snatching case, but she discovers that Jeffords has hidden artistic talents. Amy tries to determine why Holt is in a bad mood.
","Jake flirts with an attractive medical examiner at a crime scene and delays the autopsy report, only to learn that she's more than he bargained for. In the meantime, the sketch artist is out sick when Amy takes on a purse-snatching case, but she discovers that Jeffords has hidden artistic talents. Amy tries to determine why Holt is in a bad mood."
1,5,The Vulture,13/02/2014,8,3370,A detective from Major Crimes takes over Jake's nearly solved murder case and steals his thunder.,"Detective Pembroke from the Major Crimes Unit —known as ""The Vulture"" — takes over a murder case that Jake is close to  and steals his thunder, so Jake enlists the precinct to get revenge and find the murder weapon before ""The Vulture"" does. Meanwhile, Holt and Gina Linetti help Jeffords regain his rights to carry a gun.
","A detective from Special Crimes known as ""The Vulture"" takes over a murder case that Jake is close to solving and steals his thunder, so Jake enlists the precinct to get revenge and find the murder weapon before ""The Vulture"" does. Meanwhile, Holt and Gina help Terry regain his rights to carry a gun."
1,6,Halloween,20/02/2014,8.5,3767,"Jake makes a foolish bet with Holt that he can steal his Medal of Valor before Halloween is over, while Amy is forced to wear a costume while undercover with Charles.","On Halloween night, a busy time of the year for any precinct, Amy, who hates the holiday, is not happy that she has to wear a costume to go undercover on the street with Charles. Meanwhile, at the precinct, Jake bets Holt that he can steal his Medal of Valor before midnight, which leads to him bringing out his own costumes.
","On Halloween night, a busy time of the year for any precinct, Amy, who hates the holiday, is not happy that she has to wear a costume to go undercover on the street with Charles. Meanwhile, at the precinct, Jake bets Holt that he can steal his Medal of Valor before midnight, which leads to him bringing out his own costumes. Jake says that if he can steal the medal Holt must declare that he is an amazing detective/genius, but that if he can't steal the medal he will do all of Holt's Halloween paperwork. Jake wins the bet with the help of the other detectives."
1,7,48 Hours,27/02/2014,8.1,3308,Jake stupidly arrests a male suspect despite having no evidence and only has 48 hours to prove he did it or release him without charge.,"Jake makes an arrest with insufficient evidence, leaving the 99th precinct only forty-eight hours to find some. Everyone cancels their weekend plans and pitches in. Meanwhile, the Sergeant refuses to go home.
","Jake has 48 hours to collect evidence on an arrest he made without much proof, or the ""perp"" Dustin Whitman will go scot-free. After an unsuccessful interrogation, Captain Holt forces the squad to spend the weekend helping Jake solve the case. It is revealed that the real robber is another man who is working with Dustin using his MO and then splitting the loot. With the team stuck at the precinct, Charles judges a pie contest between Gina and Rosa."
1,8,Old School,6/3/14,7.7,3166,"Jake is horrified when his hero, Jimmy Brogan, a crime writer, accompanies him on the job, and threatens to quote him in a damning article. Meanwhile, Rosa has to work on her attitude in court.","Jimmy Brogan, the man who wrote the book that inspired Peralta to be a cop, is writing an article comparing the characters in his book to the current crop of New York's Finest, and for research is shadowing Peralta and Santiago on their identity theft case.
","Jake spends a day with a former crime-reporter whom he respects, but finds out that remarks about the precinct were considered on the record. Terry and Charles work with Rosa to help her appearance on the witness stand."
1,9,Sal's Pizza,13/03/2014,7.6,3102,"Jake's favorite pizza place burns down and he is determined to prove the owner was not responsible. Meanwhile, Amy is jealous of Rosa's being offered a promotion, and Terry and Gina have to hire a new IT specialist.","When Peralta's favorite pizza place burns down, he goes head to head with Fire Marshall Boone.
",Jake tries to catch an arsonist who destroyed his favorite pizzeria while feuding with the stubborn Fire Marshall Boone. Amy gets jealous when she learns Rosa was asked to be the newpolice captainat another precinct. Terry and Gina hold interviews for a new IT worker when a hacker leaks everyone's internet searches out to the entire precinct.
1,10,Thanksgiving,20/03/2014,8.2,3178,"Amy hosts a Thanksgiving dinner at her apartment for everyone at the precinct, but it soon turns into a disaster.","The squad spends Thanksgiving Day playing Boyle Bingo, then everyone heads to Santiago's apartment for Thanksgiving Dinner.
","Amy hosts a Thanksgiving dinner at her apartment for everyone at the precinct, with the primary purpose of asking Holt to be her mentor, but he and Jake leave early to catch a perp who stole money out of the evidence locker. Everyone else detests Amy's cooking and end up in one mishap after another, leaving Terry in a hunger-induced rage, Rosa to relish the chaos, and Boyle scrambling to save the night."
1,11,Christmas,27/03/2014,8.2,3030,"When Holt receives death threats, he surprisingly puts Jake in charge of his security. Meanwhile, Terry undergoes a psych evaluation, and Amy tries to make the perfect holiday card for Holt.","When Captain Holt receives a series of death threats, Deputy Chief Gerber orders him to have a bodyguard. The captain chooses Peralta, who immediately sets about abusing his position. Terry sees a therapist to see if he is ready to get back in the field.
","When Holt receives a number of death threats, Jake is elated when he is assigned by the chief to be Holt's protection detail, allowing Jake to monitor Holt and boss him around. Amy tries to make the perfect Christmas card to give to Holt with Gina's help. Terry sees a therapist for a psych evaluation so he can go back into the field."
1,12,Pontiac Bandit,3/4/14,8.1,3083,"Jake convinces Rosa to make a deal with a criminal in order to catch a car thief, while Charles makes an awkward return to the precinct, and Holt tries to get rid of two puppies.","Jake and Rosa try to catch an infamous car thief with the help of a perp and supposed witness, Doug Judy. Holt tries to find a home for two puppies. The rest of the precinct struggles to accommodate an injured Charles when he returns from being wounded in action.
","Jake and Rosa try to catch an infamous car thief with the help of a perp and supposed witness, Doug Judy, who turns out to be the Pontiac Bandit. Holt tries to find a home for two puppies. The rest of the precinct struggles to accommodate an injured Charles when he returns from being wounded in action. Boyle decides to return home until he is better and takes the dogs in to keep him company."
1,13,The Bet,10/4/14,8.8,3501,"While Holt holds a celebration for Charles after he is awarded the Medal of Valor, Amy is forced to go on a ridiculous date with Jake after she loses their long-running bet.","Jake and Amy’s ongoing bet about who can make more arrests comes to a close. Meanwhile, Charles receives the Medal of Valor for getting shot in the line of duty, but the pain medication he is taking causes him to reveal his true opinions about his colleagues.
","Jake plans the ""worst date ever"" for Amy after pulling a last minute victory over her to settle their bet, but when they are called to a stakeout during their date, he reevaluates his relationship with her. After injuring himself further during his Medal of Valor ceremony, an increased dose of pain medication causes Charles to drop painfully honest ""truth bombs"" about his co-workers. He is also jealous when a police horse named Peanut Butter, who is receiving the same medal as him, gets more attention than him. Holt tries to save face with Terry's wife regarding Terry going back in the field only to have his foot in his mouth."
1,14,The Ebony Falcon,17/04/2014,7.6,2897,"Jake begins to have second thoughts about putting Terry back in the field for a dangerous undercover assignment, while Rosa and Amy try to help Gina after she is robbed.","Peralta needs Sgt. Jeffords to take part in an undercover operation, but then gets cold feet after meeting Cagney and Lacey. Detectives Santiago and Diaz are assigned to investigate on a theft Gina suffered in her apartment.
","While investigating a steroid traffic operation in a gym, Peralta and Boyle recruit Sergeant Jeffords, formerly nicknamed ""The Ebony Falcon,"" in order to infiltrate the organization and detain the responsibles. Meanwhile, Captain Holt orders Santiago and Diaz to research about a theft Gina suffered at her home."
1,15,Operation: Broken Feather,24/04/2014,8.2,3033,"Jake is hurt when Amy tells him that she is considering leaving the precinct, while Terry helps Holt redesign the precinct to make everyone more productive.","Santiago is considering leaving the Nine-Nine in favour of a desk job at Major Crimes. Meanwhile, the Captain and the Sergeant experiment to see just how efficient they can make the precinct when it comes to finishing paperwork.
","Jake and Amy investigate hotel robberies. There, Jake is upset to discover Amy might leave to join the major crimes division. Meanwhile, Holt and Terry conduct experiments to reduce inefficiencies in the precinct in order to reach theirCompStatdeadline."
